Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
01/26/2021,649,11,64,76,158,124,116,87,45,31,12,0,315,327,7,193,24,123,132,37,140,0,1,0,0,0,1,3,6,0,5,6,0,1,0,7,2,1,0,2,4,5,5,11,14,13,10,0,33,31,0,13,1,22,16,4,8
12/05/2020,1203,11,89,165,271,217,170,184,116,52,28,0,609,592,2,416,29,162,216,49,331,0,0,1,1,1,1,2,5,0,5,6,0,5,0,4,2,0,0,4,7,8,5,12,27,14,12,0,46,43,0,21,4,31,23,8,2
04/10/2020,572,32,158,22,80,102,98,108,85,42,35,0,253,309,10,168,26,213,75,25,65,0,0,1,3,3,3,9,13,0,11,21,0,3,2,24,3,0,0,0,10,10,22,19,39,28,30,0,63,94,1,51,4,71,22,9,1
10/09/2020,669,4,51,67,173,168,100,69,52,27,13,0,326,341,2,247,10,91,175,33,113,0,0,0,1,0,1,1,1,0,0,4,0,1,0,0,2,0,1,2,5,7,6,8,9,6,8,0,28,23,0,12,1,15,16,2,5
11/03/2020,2139,13,111,262,554,449,349,265,151,66,43,0,1088,1047,4,741,59,242,466,99,532,0,0,0,0,2,5,4,2,0,2,11,0,4,0,4,5,0,0,3,10,12,13,19,22,14,18,0,54,56,1,40,5,37,17,2,10
08/08/2020,177,3,16,22,56,27,32,18,14,3,5,0,94,81,2,66,6,39,40,7,19,0,0,0,1,1,0,1,0,0,0,3,0,2,0,1,0,0,0,0,1,1,2,4,3,2,3,0,6,10,0,8,1,5,2,0,0
03/17/2021,463,8,26,48,157,96,67,48,34,9,4,0,234,227,2,87,24,95,134,25,98,0,0,1,0,0,2,1,4,0,4,4,0,1,0,4,3,0,0,0,5,3,3,5,4,2,4,0,15,11,0,5,1,17,3,0,0
08/22/2020,190,2,17,18,58,32,28,26,16,10,2,0,96,92,2,66,4,28,55,12,25,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,3,2,3,6,0,0,12,5,0,2,0,10,4,1,0
04/18/2020,534,39,163,12,89,101,96,90,81,44,21,0,244,285,5,179,18,160,59,21,97,0,0,0,3,4,8,12,12,0,20,19,0,12,5,20,2,0,0,1,7,18,19,36,39,27,16,0,62,101,0,53,4,74,22,8,2
11/16/2020,2559,26,161,315,600,486,459,339,204,95,61,0,1328,1220,11,902,57,367,489,126,618,0,0,1,1,4,5,8,7,0,9,17,0,14,2,5,5,0,0,0,16,8,18,20,36,36,27,0,77,84,0,46,8,68,30,7,2
07/23/2020,318,3,33,33,101,68,43,35,17,12,9,0,190,127,1,91,13,80,75,14,45,0,0,0,1,0,0,2,0,0,2,1,0,1,0,2,0,0,0,0,4,8,4,6,3,5,3,0,16,17,0,15,1,11,4,1,1
04/02/2020,437,15,171,2,59,69,85,91,58,40,33,0,210,223,4,87,12,226,57,18,37,0,0,0,1,2,1,7,4,0,5,10,0,2,2,9,2,0,0,1,8,15,28,32,36,30,21,0,70,100,1,39,3,97,20,10,2
01/12/2021,1092,11,72,139,288,191,150,134,106,49,35,0,567,519,6,336,41,201,227,53,234,0,0,0,0,4,3,3,1,0,4,7,0,4,1,5,1,0,0,1,15,9,4,6,13,14,10,0,34,38,0,20,0,35,10,4,3
11/01/2020,728,6,75,76,182,151,114,94,53,36,22,0,390,337,1,179,31,98,206,37,177,0,0,0,0,0,3,1,2,0,3,3,0,2,0,3,1,0,0,2,7,3,6,8,14,20,15,0,34,41,0,26,1,28,15,3,2
02/01/2021,610,9,51,79,150,115,94,90,44,22,16,0,320,287,3,199,17,97,147,29,121,0,0,0,0,1,5,0,3,0,7,2,0,3,0,4,2,0,0,1,3,7,3,7,11,10,9,0,28,23,0,13,1,18,12,2,5
